Date : 2026-06-01 02:19:04
Directory : c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app
Total : 98 files,  25011 codes, 928 comments, 1397 blanks, all 27336 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\_layout.tsx                                                      | TypeScript JSX     |         84 |          3 |         10 |         97 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-debt.tsx                                                     | TypeScript JSX     |        680 |          9 |         26 |        715 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-friends.tsx                                                  | TypeScript JSX     |        311 |          4 |         27 |        342 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-group-debt.tsx                                               | TypeScript JSX     |        274 |          7 |         20 |        301 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\add-individual.tsx                                               | TypeScript JSX     |        550 |         15 |         52 |        617 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\_layout.tsx                                                 | TypeScript JSX     |         10 |          2 |          5 |         17 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\login.tsx                                                   | TypeScript JSX     |        315 |         11 |         19 |        345 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\auth\signup.tsx                                                  | TypeScript JSX     |        380 |          9 |         25 |        414 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\create-group.tsx                                                 | TypeScript JSX     |        250 |          1 |         20 |        271 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\debt\[id].tsx                                                    | TypeScript JSX     |        566 |         18 |         69 |        653 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-group.tsx                                                   | TypeScript JSX     |        240 |          2 |         20 |        262 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\edit-individual.tsx                                              | TypeScript JSX     |        164 |          0 |         16 |        180 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\group\[id].tsx                                                   | TypeScript JSX     |        589 |          7 |         43 |        639 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\individual\[id].tsx                                              | TypeScript JSX     |        882 |         23 |         61 |        966 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\modal.tsx                                                        | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\account.tsx                                             | TypeScript JSX     |         95 |          0 |         10 |        105 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\contacts.tsx                                            | TypeScript JSX     |         51 |          0 |          8 |         59 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\payment-apps.tsx                                        | TypeScript JSX     |        115 |          0 |         12 |        127 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\app\settings\profile.tsx                                             | TypeScript JSX     |        143 |          1 |         12 |        156 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\Avatar.tsx                                                | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\DoneBar.tsx                                               | TypeScript JSX     |         25 |          5 |          3 |         33 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\GotchuLatrLogo.tsx                                        | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\GradientButton.tsx                                        | TypeScript JSX     |         45 |          0 |          6 |         51 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\external-link.tsx                                         | TypeScript JSX     |         21 |          2 |          3 |         26 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\haptic-tab.tsx                                            | TypeScript JSX     |         16 |          1 |          2 |         19 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\hello-wave.tsx                                            | TypeScript JSX     |         18 |          0 |          2 |         20 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\parallax-scroll-view.tsx                                  | TypeScript JSX     |         73 |          0 |          7 |         80 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\themed-text.tsx                                           | TypeScript JSX     |         55 |          0 |          6 |         61 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\themed-view.tsx                                           | TypeScript JSX     |         10 |          0 |          5 |         15 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\collapsible.tsx                                        | TypeScript JSX     |         40 |          0 |          6 |         46 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.ios.tsx                                    | TypeScript JSX     |         31 |          0 |          2 |         33 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\components\ui\icon-symbol.tsx                                        | TypeScript JSX     |         29 |         11 |          5 |         45 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\effects.ts                                                 | TypeScript         |         23 |          0 |          5 |         28 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\constants\theme.ts                                                   | TypeScript         |         37 |          1 |          7 |         45 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\AuthContext.tsx                                              | TypeScript JSX     |        155 |         16 |         31 |        202 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ContactsContext.tsx                                          | TypeScript JSX     |        145 |         31 |         20 |        196 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\DebtContext.tsx                                              | TypeScript JSX     |        491 |         35 |         59 |        585 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\GroupsContext.tsx                                            | TypeScript JSX     |        132 |         16 |         16 |        164 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ProfileContext.tsx                                           | TypeScript JSX     |         98 |          1 |         18 |        117 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\context\ThemeContext.tsx                                             | TypeScript JSX     |        139 |          0 |         16 |        155 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\debt-tracker-app.code-workspace                                      | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\eslint.config.js                                                     | JavaScript         |          8 |          1 |          2 |         11 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.ts                                            | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-color-scheme.web.ts                                        | TypeScript         |         13 |          3 |          6 |         22 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\hooks\use-theme-color.ts                                             | TypeScript         |         14 |          4 |          4 |         22 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\phoneUtils.ts                                                    | TypeScript         |          6 |         11 |          2 |         19 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\contactsService.ts                                      | TypeScript         |        333 |         61 |         41 |        435 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\debtService.ts                                          | TypeScript         |        476 |        106 |         81 |        663 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\friendRequestsService.ts                                | TypeScript         |        186 |         38 |         34 |        258 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\groupService.ts                                         | TypeScript         |        244 |         46 |         42 |        332 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\notificationService.ts                                  | TypeScript         |         46 |          0 |          8 |         54 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\nudgeService.ts                                         | TypeScript         |         92 |         12 |         13 |        117 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\services\profileService.ts                                       | TypeScript         |         35 |          0 |          7 |         42 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\storage.native.ts                                                | TypeScript         |          2 |          1 |          2 |          5 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\storage.ts                                                       | TypeScript         |          4 |          2 |          1 |          7 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\lib\supabase.ts                                                      | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package-lock.json                                                    | JSON               |     13,399 |          0 |          1 |     13,400 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\package.json                                                         | JSON               |         57 |          0 |          1 |         58 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\scripts\reset-project.js                                             | JavaScript         |         89 |         10 |         14 |        113 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\.temp\linked-project.json                                   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000000_initial_schema.sql                | MS SQL             |        258 |         77 |         77 |        412 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000001_contacts_extra_columns.sql        | MS SQL             |         18 |          8 |         10 |         36 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000002_ensure_contacts_schema.sql        | MS SQL             |         18 |          7 |         10 |         35 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000003_groups_extra_columns.sql          | MS SQL             |         26 |         19 |         13 |         58 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000004_fix_rls_recursion.sql             | MS SQL             |         29 |         30 |         14 |         73 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000005_fix_groups_insert_policy.sql      | MS SQL             |          4 |         14 |          4 |         22 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260521000006_fix_groups_insert_rls.sql         | MS SQL             |          8 |         13 |          3 |         24 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000000_profiles_email.sql                | MS SQL             |         38 |         19 |          9 |         66 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260522000001_mirror_contact_rpc.sql            | MS SQL             |         48 |         20 |          7 |         75 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000000_debt_accept_decline_rls.sql       | MS SQL             |         10 |         15 |          2 |         27 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260523000001_contacts_realtime.sql             | MS SQL             |          1 |         12 |          2 |         15 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000000_partial_payments.sql              | MS SQL             |         47 |         20 |         12 |         79 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000001_debts_payments_realtime.sql       | MS SQL             |          2 |          7 |          2 |         11 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000002_payments_client_request_id.sql    | MS SQL             |          9 |          7 |          3 |         19 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000003_payments_idempotency_enforced.sql | MS SQL             |         32 |          6 |          6 |         44 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000004_pending_debt_edit_cancel_rls.sql  | MS SQL             |         21 |          7 |          4 |         32 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000005_payments_borrower_only_rls.sql    | MS SQL             |         13 |          6 |          3 |         22 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000006_debts_client_request_id.sql       | MS SQL             |         19 |          1 |          5 |         25 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000007_profiles_expo_push_token.sql      | MS SQL             |          2 |          1 |          2 |          5 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260524000008_contact_invites.sql               | MS SQL             |         51 |          1 |         10 |         62 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260531000000_debt_paid_at.sql                  | MS SQL             |         30 |         16 |          8 |         54 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260601000001_phone_auth.sql                    | MS SQL             |        115 |         34 |         22 |        171 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260601000002_friend_requests.sql               | MS SQL             |         27 |         14 |          8 |         49 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260601000003_friend_requests_rls_fix.sql       | MS SQL             |          4 |         11 |          3 |         18 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260601000004_debt_nudges.sql                   | MS SQL             |         21 |         13 |          6 |         40 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\supabase\migrations\20260601000005_debt_nudges_group_id.sql          | MS SQL             |          3 |          8 |          2 |         13 |
| c:\Users\brand\OneDrive\Documents\GitHub\debt-tracker-app\tsconfig.json                                                        | JSON with Comments |         17 |          0 |          1 |         18 |
| Total                                                                                                                          |                    |     25,011 |        928 |      1,397 |     27,336 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
